a|A1|PRODUCTION|N/A|N/A||||||Closed
BMS|BMS|PRODUCTION|BMSTDATPROD|100%|14.00.03.04|14|2690|NA|NA|Active
BMS|BMS|DEV|BMSTDATDEV|100%|14.00.03.04|14|2690|NA|NA|Active
BMW|BMW|PRODUCTION|OSS2|100%|15.00.02.02|15|2750|NA|NA|Active
BMW|BMW|DEV|OSS3|100%|15.00.02.02|15|2750|NA|NA|Active
BonPrix|BONPRIX|PRODUCTION|BONPRIXP1|100%|14.10.03.11|14.1|1750|NA|NA|Active
BonPrix|BONPRIX|DEVELOPMENT|BONPRIXTST1 |100%|14.10.03.11|14.1|1750|NA|NA|Active
Capital ONE - DBA Services|CAPITAL ONE - DBA SERVICES|DEV|CAP1UK670T|100%|14.10.03.11|14.1|670T|NA|NA|Active
Capital One - PSS|CAPITAL ONE - PSS|PRODUCTION|CAP1PD6650|100%|14.10.03.11|14.1|6650|NA|NA|Active
CBA|CBA |PRODUCTION|CBAGDWPRD|100%|14.10.05.04|14.1|6750H|NA|NA|Active
Cincinatti Hospital|CINCINATTI  HOSPITAL|PRODUCTION|CCHMC01|100%|15.00.02.03|15|2750|NA|NA|Closed
CISCO|CISCO|PRODUCTION|CISCO15|100%|14.10.07.21|14.1|6800H|NA|NA|Active
CISCO|CISCO|PRODUCTION|CISCO17|100%|15.10.04.03|15.1|6800H|NA|NA|Active
Coca-Cola|COCA-COLA|PRODUCTION|COCACOLATR2750|100%|15.00.02.02|15|2750|NA|NA|Active
Colruyt|COLRUYT|PRODUCTION|COLRUYT1|100%|14.10.05.05|14.1|2750|NA|NA|Closed
COOP Denmark|COOP DENMARK|PRODUCTION|Teradata6700_Prod|100%|14.10.00.14|14.1|6700|NA|NA|Active
Cummins|CUMMINS|PRODUCTION|CECCHDC01|100%|14.10.04.11|14.1|6700|NA|NA|Closed
Cummins|CUMMINS|UAT|CECFRDC02|100%|14.10.04.11|14.1|6700|NA|NA|Closed
Cummins|CUMMINS|DEV|CECFRDC03|100%|14.10.04.11|14.1|2750|NA|NA|Closed
DELL|DELL|PRODUCTION|DELLTDPROD|100%|14.00.04.17e|14|6700|NA|NA|Active
DELL|DELL|PRODUCTION|DELLPROD2|100%|14.10.05.04|14.1|5605|NA|NA|Active
Delta Air Lines|DELTA|PRODUCTION|DELTA6750|100%|14.10.03.12|14.1|6750|NA|NA|Active
Delta Air Lines|DELTA|PRODUCTION|DELTA2800|100%|14.10.04.03|14.1|2800|NA|NA|Active
Delta Air Lines|DELTA|PRODUCTION|DELTA1700|100%|15.00.01.03|15|1700|NA|NA|Active
Delta Air Lines|DELTA|UAT|DELTADM|100%|14.10.04.12|14.1|2690|NA|NA|Active
Delta Air Lines|DELTA|DEV|DELTA67|100%|14.10.04.12|14.1|2650|NA|NA|Active
DIRECTV|DIRECTV|PRODUCTION|DIRECT13|100%|15.00.02.02|15|6750|NA|NA|Closed
DIRECTV|DIRECTV|Development|DIRECT14|100%|15.00.03.02|15|2690|NA|NA|Closed
DIRECTV|DIRECTV|PRODUCTION|DIRECT15|62%|15.00.02.02|15|6750|NA|NA|Closed
DIRECTV|DIRECTV|Test|DIRECT16|100%|15.00.03.02|15|2700|NA|NA|Closed
DNB Bank ASA|DNB BANK ASA|PRODUCTION|DNBNOR03 |100%|15.10.04.03|15.1|6700|NA|7.1.0.6|Active
EA|EA DBA|PRODUCTION|ELECARTS4|NA|14.10.04.02|14.1|5650H |NA|NA|Active
EA|EA DBA|PRODUCTION|ELECARTS6|NA|14.10.04.02|14.1|2650|NA|NA|Active
EA|EA DBA|PRODUCTION|ELECARTS7|NA|14.10.04.10|14.1|2650|NA|NA|Active
EA|EA DBA|TEST|ELECARTS2|NA|14.00.07.12|14|5500H|NA|NA|Active
EA|EA DBA|DEV|ELECARTS3|NA|14.00.07.12|14|5500H|NA|NA|Active
eBay|EBAY|PRODUCTION|Ebay17|100%|14.10.07.04|14.1|6700|NA|NA|Active
eBay|EBAY|PrODUCTION DR|EBAY18|100%|14.10.07.04|14.1|1650|NA|NA|Active
eBay|EBAY|Production QA and DEV|Ebay19|100%|14.10.07.04|14.1|6700|NA|NA|Active
eBay|EBAY|DEV|Ebay23|100%|14.10.07.04|14.1|1800T|NA|NA|Active
eBay|EBAY|Singularity PRODUCTION|Ebay21|100%|14.10.07.501|14.1|1800|NA|NA|Active
eBay|EBAY|Singularity PRODUCTION|EBAY16|100%|14.10.07.501|14.1|1650|NA|NA|Active
eBay|EBAY|Teradata research Platform|Ebaymongo3|100%|14.10.07.04|14.1|6690|NA|NA|Active
eBay|EBAY|Singularity Test/Dev|Ebay22|100%|15.10.4.501|14.1|1800T|NA|NA|Active
eBay|EBAY|Singularity Test|Ebay20|100%|15.10.4.501|14.1|1700|NA|NA|Active
eBay|EBAY|Singularity DR|Ebay15|100%|14.10.03.03|14.1|1580|NA|NA|Closed
eBay|EBAY|Singularity DEV|Ebay20|100%|14.10.03.09|14.1|1700|NA|NA|Closed
eBay|EBAY|Singularity QA|Ebay12 |100%|14.10.03.03|14.1|1580|NA|NA|Closed
eBay|EBAY|Production QA|Ebay13 |100%|14.10.3.501|14.1|1580|NA|NA|Closed
EDW|EDW|PRODUCTION|TDCDWPROD01|100%|14.00.07.05|14|6750H|NA|NA|Active
EDW|EDW|DEV|TDCEDW4|100%|15.00.02.05|15|5600H|NA|NA|Active
EDW|EDW|UAT|TDCDWDR01|100%|14.00.07.05|14|6750C, 6750H|NA|NA|Active
FDO|FAMILY DOLLAR|PRODUCTION|FDPROD2|100%|14.00.07.08|14|2700|NA|NA|Active
FDO|FAMILY DOLLAR|TEST|FDTEST2|100%|14.00.07.08|14|2700|NA|NA|Active
FedEx|FEDEX|PRODUCTION|FedEx5C|80%|15.00.02.08|15|6750|NA|NA|Active
FOTL|FRUIT OF THE LOOM|PRODUCTION|FOTL01|100%|14.10.04.11|14.1|2690|NA|NA|Active
FOTL|FRUIT OF THE LOOM|TEST|FOTL02|100%|14.10.04.11|14.1|2690|NA|NA|Active
Gjensidige|GJENSIDIGE|PRODUCTION |Gj06|75%|15.00.03.02|15|6750|NA|NA|Active
HBC|HBC BI|PRODUCTION|HBCSAKS1||13.10.07.12|13.1|6700|NA|NA|Active
HBC|HBC DI|DEV|HBCSAKSDEV2||13.10.07.12|13.1|2580|NA|NA|Active
HBCSAKS|HBCSAKS|PRODUCTION|HBCSAKS1|75%|14.10.06.02|14.1|6700|NA|NA|Active
HBCSAKS|HBCSAKS|PRODUCTION|HBCDCMPROD|Disabled|14.10.06.09|14.1|2750|NA|NA|Active
HBCSAKS|HBCSAKS|DEV|HBCSAKSDEV|Disabled|14.10.07.23|14.1|2690|NA|NA|Active
HEMA|HEMA|PRODUCTION|HEMA04|100%|15.00.05.05|15|6750HX|NA|NA|Active
HEMA|HEMA|QA|HEMA|100%|15.00.02.02|15|6750|NA|NA|Active
Hertz|HERTZ - DBA|PRODUCTION|HERTZPROD2|100%|14.10.02.13|14.1|6700H|NA|NA|Active
Hertz|HERTZ - DBA|PRODUCTION|HERTZDAPROD|100%|13.10.04.01|13.1|2690|NA|NA|Active
Hertz|HERTZ - DBA|PRODUCTION|dclnpinfdb02|100%|14.10.6.6.24|14.1|6700|NA|NA|Active
Hertz|HERTZ - DBA|TEST|dclnqinfdb01|100%|14.10.6.5.60|14.1|6700|NA|NA|Active
Hertz|HERTZ - DBA|DEV|dclndinfdb01|100%|14.10.65.6.198|14.1|2650|NA|NA|Active
Hertz|HERTZ - DBA|DEV|GDWR|100%|14.10.14.65.11|14.1|2690|NA|NA|Active
Home Depot|HOME DEPOT|PRODUCTION|HDPROD2|75%|14.10.05.07|14.1|6700H|NA|NA|Active
HSBC|HSBC|PRODUCTION|HSBCTRCIMPROD|N/A||||NA|NA|Closed
ICELAND|ICELAND|PRODUCTION|ICELAND6|100%|13.10.07.12|13.1|2690|NA|NA|Active
ICELAND|ICELAND|PRODUCTION|ICELAND7|100%|13.10.07.12|13.1|2690|NA|NA|Active
IF Insurance|IF INSURANCE|PRODUCTION|IFProd1|100%|14.10.04.09|14.1|6700|NA|NA|Active
IHG|IHG|PRODUCTION|ADCEDWP2|100%|14.00.04.07|14|6700|NA|NA|Active
JLR|JLR|PRODUCTION|JLR2550|100%|13.10.03.03|13.1|2550|NA|NA|Active
JLR|JLR|DEV|JLR1N560|100%|13.10.01.08|13.1|2550|NA|NA|Active
JM Family|JM FAMILY|PRODUCTION|JMFTD1|50%|13.10.04.04|13.1|5555C|NA|NA|Closed
JM Family|JM FAMILY|PRODUCTION|JMFTDOB1|100%|15.00.06.05|15|6650H|NA|NA|Active
JM Family|JM FAMILY|DEV|JMFTD2|100%|13.10.04.04|13.1|551P|NA|NA|Closed
JM Family|JM FAMILY|CHI-DEV|JMFTDOB2|100%|15.00.06.05|15|680|NA|NA|Active
JM Family|JM FAMILY|PRODUCTION|JMFTDMS1|50%|15.00.05.14|15|6800H|NA|NA|Active
Johnson & Johnson|JOHNSON & JOHNSON|TEST|JJQA|100%|14.10.04.03b|14.1|6650|NA|NA|Closed
Johnson & Johnson|JOHNSON & JOHNSON|DEV|JJDEV|100%|14.10.04.03b|14.1|6650|NA|NA|Closed
Kohls|KOHLS|PRODUCTION|KOHLS6|Disabled|15.00.04.05|15|6700|NA|NA|Active
Kohls|KOHLS|UAT|KOHLS7|100%|15.00.04.05|15|6750|NA|NA|Active
Kohls|KOHLS|TEST|KOHLS5|Disabled|15.10.04.02|15.1|2690|NA|NA|Active
KPN-CIM|KPN CIM|Development|W0059|100%|14.10.04.12|14.1|6650|NA|NA|Active
KPN-FACT/CIM/Hadoop|KPN FACT/CIM/HADOOP|PRODUCTION|KPN10/KPN10/KPNHD09|63%|15.10.03.02|15.1|Intelliflex|HDP 2|CIM 7|Active
KPN-FACT/Hadoop|KPN FACT/ HADOOP|Development|KPN04/KPN05|100%|15.10.03.02|15.1|6700c|HDP 2|NA|Active
LahiTapiola|LAHITAPIOLA|PRODUCTION|TAPIOLA3|100%|14.10.04.01|14.1|2690|NA|NA|Active
LexisNexis|LEXIS NEXIS|PRODUCTION|Lexis20|75%|14.10.03.04|14.1|6750HX|NA|NA|Active
LexisNexis|LEXIS NEXIS|DEV/CERT|Lexis19|100%|14.10.05.09|14.1|2700|NA|NA|Active
Loblaw|LOBLAWS|PRODUCTION|LOBLAWPRD2PCC |85%|15.10.02.07|15.1|6700|NA|NA|Active
MARSH AND McLENNAN COMPANIES|MARSH|PRODUCTION|MARSHPROD|100%|14.10.00.02|14.1|2700|NA|NA|Active
MARSH AND McLENNAN COMPANIES|MARSH|DEV|MARSH01DEV|100%|14.10.01.04|14.1|670C|NA|NA|Active
MARSH AND McLENNAN COMPANIES|MARSH|UAT|MARSH01DR|100%|14.10.00.02|14.1|2700|NA|NA|Active
Mass Mutual RS|MASS MUTUAL RS|PRODUCTION|MMRSPROD|100%|13.10.06.13|13.1|5650|NA|NA|Active
Mass Mutual USIG|MASS MUTUAL USIG|PRODUCTION|MMUSIGPROD|100%|13.10.03.06|13.1|5650|NA|NA|Active
McCain|MCCAIN|PRODUCTION|MCCAINFOODSPRD1|100%|14.10.05.09|14.1|6690|NA|NA|Active
McCain|MCCAIN|DEV|MCCAINFOODSDEV1|100%|14.10.05.09|14.1|2690|NA|NA|Active
McDonald|MCDONALD|PRODUCTION|MCDDAL1|100%|15.10.03.02|15.1|6700|NA|NA|Active
McDonald|MCDONALD|PRODUCTION 2|MCDDAL4|100%|15.10.03.02|15.1|2800|NA|NA|Active
McDonald|MCDONALD|DISCOVERY|MCDA3|100%|15.10.03.02|15.1|2690|NA|NA|Active
McDonald|MCDONALD|DEV and QA|MCDA2|100%|15.10.03.02|15.1|2650|NA|NA|Active
Meredith|MEREDITH DBA|PRODUCTION|MDPPROD1|100%|15.10.03.06|15.1|6650H|NA|NA|Active
Meredith|MEREDITH DBA|DEV|MDPDEV1|100%|14.10.04.11|14.1|560P|NA|NA|Closed
Meredith|MEREDITH DBA|TEST|MDPTEST1|100%|15.10.02.05|15.1|200CL|NA|NA|Active
Metro|METRO|Production|DUS4|100%|14.10.04.11|14.1|6690|NA|NA|Active
Metro|METRO|Production|FFM7|100%|14.10.05.08|14.1|6690|NA|NA|Active
Metro|METRO|Production|DUS5|100%|14.10.05.08|14.1|1650|NA|NA|Active
Metro|METRO|Production|FFM8|100%|14.10.05.08|14.1|2690|NA|NA|Active
Metro|METRO|Pre Prod|DUS6|100%|14.10.05.08|14.1|5500|NA|NA|Active
Metro|METRO|PRODUCTION|DUS7|100%|14.10.05.08|14.1|5500|NA|NA|Active
Michael Hill Jewelers |MICHAEL HILL JEWELERS |PROD|MHJPROD1|100%|14.00.03.07|14|2690|NA|NA|Active
MillerCoors|MILLERCOORS|PRODUCTION|MILLERCOORSPRD2|100%|14.10.03.05|14.1|6700|NA|NA|Active
MillerCoors|MILLERCOORS|PRODUCTION|MILLERPREPROD2|100%|14.10.05.04|14.1|6700|NA|NA|Active
MillerCoors|MILLERCOORS|TEST|MILLERTEST2|100%|14.10.05.04|14.1|5550|NA|NA|Active
MillerCoors|MILLERCOORS|DEV|MILLERDEV2|100%|14.10.05.04|14.1|5500|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WMTDPROD|63%|15.10.02.04|15.1|6700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WMTDBCP|63%|15.10.02.04|15.1|6700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WMTDPDOL|100%|15.10.02.04|15.1|6650C|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WMTDBDOL|100%|15.10.02.04|15.1|6650C|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WMTDDASP|100%|15.10.02.04|15.1|1650|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WMTDDASB|100%|15.10.02.04|15.1|2580|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|UAT|WMTDUAT|63%|15.10.02.04|15.1|6700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|QA|WMTDQA|100%|15.10.02.04|15.1|2700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|QA|WMTDQA1|100%|15.10.02.04|15.1|2700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|DEV|WMTDDEV|100%|15.10.02.04|15.1|2700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WISETDPROD|100%|15.10.02.04|15.1|6700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WISETDBCP|100%|15.10.02.04|15.1|6700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|PRODUCTION|WISETDDAS|100%|15.10.02.04|15.1|1650|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|UAT|WISETDUAT|100%|15.10.02.04|15.1|6690|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|QA|WISETDQA|100%|15.10.02.04|15.1|2690|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|TEST|WISETEST|100%|15.10.02.04|15.1|2700|NA|NA|Active
MORGANSTANLEY|MORGAN STANLEY|DEV|WISETDDEV|100%|15.10.02.04|15.1|2690|NA|NA|Active
NBCU|NBCU|PRODUCTION|NBCU6|100%|15.00.05.07|15|6700|NA|NA|Active
NBCU|NBCU|Stage|NBCU9|100%|15.00.05.07|15|2750|NA|NA|Active
NBCU|NBCU|Dev|NBCU7|100%|15.00.05.07|15|2750|NA|NA|Active
NBCU|NBCU|DR|NBCU8|100%|15.00.05.07|15|2750|NA|NA|Active
Nike|NIKE|PRODUCTION|NikeDWP3|100%|15.10.03.04d|15.1|6750|NA|NA|Active
Nike|NIKE|UAT|NikeDWQA3|100%|15.10.03.04d|15.1|6750|NA|NA|Active
Nike|NIKE|DEV|NikeDWD3|100%|15.10.03.04d|15.1|6750|NA|NA|Active
Nike|NIKE|PRODUCTION|NikeEU01|100%|14.10.07.07|14.1|2750|NA|NA|Active
Nordea|NORDEA|PRODUCTION|||15.00.03.03|15||NA|NA|Active
Nordea|NORDEA|TEST|||15.00.03.03|15||NA|NA|Active
Nordea|NORDEA|UAT|||15.00.03.03|15||NA|NA|Active
NPL|NPL|DEV|NOVA01|100%|14.10.04.11|14.1|2750|NA|NA|Active
NPL|NPL|PRODUCTION|NOVA02|100%|14.10.04.11|14.1|2750|NA|NA|Active
Office Depot DBA|OFFICEDEPOT DBA|PRODUCTION|ODPROD|70%|14.10.07.06|14.1|6750H|NA|NA|Active
Office Depot DBA|OFFICEDEPOT DBA|DEV|ODTEST|100%|14.10.07.06|14.1|2750|NA|NA|Active
P&G|P&G|UAT|PG1CP6650|100%|15.00.03.02|15|6650C|NA|NA|Active
P&G|P&G|PRODUCTION|PG1CPPG4|71%|15.00.03.02|15|6650H|NA|NA|Active
PAYPAL|PAYPAL|PROD EDW|PayPal12|100%|15.10.04.03|15.1|6800H|NA|NA|Active
PAYPAL|PAYPAL|DEV EDW|PayPal7|100%|15.10.04.03|15.1|2650|NA|NA|Active
PAYPAL|PAYPAL|PROD Singularity|PayPal8|100%|15.10.04.03|15.1|1650|NA|NA|Active
PAYPAL|PAYPAL|PROD Singularity|PayPal11|100%|15.10.04.03|15.1|1750|NA|NA|Active
Pfizer|PFIZER|DEV|PfizerTest2750 - AMRROCD|100%|15.00.02.02|15|2750|NA|NA|Active
Pfizer|PFIZER|UAT|PFIZERQA6750- AMRROCQ|100%|15.00.02.02|15|6750|NA|NA|Active
Pfizer|PFIZER|PRODUCTION|PFIZERPROD6750 - AMRROCP|100%|15.00.02.02|15|6750|NA|NA|Active
Pfizer|PFIZER|PRODUCTION|PFIZERND1 - AMRNDHP|75%|15.00.02.02|15|5650H   |NA|NA|Active
Pfizer|PFIZER|PRODUCTION|PFIZER67001 - AMRNDHP3|100%|15.00.02.02|15|6700|NA|NA|Active
Philips|PHILIPS|PRODUCTION|Philips02|50%|14.10.04.06|14.1|6650|NA|NA|Active
Philips|PHILIPS|DEV|Philips03|50%|14.10.04.06|14.1|2690|NA|NA|Active
Philips|PHILIPS|UAT|Philips04|50%|14.10.04.06|14.1|2750|NA|NA|Active
RAI BI/DI|RAI - DI|PRODUCTION|TVDW||14.10.04.06|14.1||NA|NA|Active
RAI BI/DI|RAI - DI|TEST|TDataA||14.10.04.06|14.1||NA|NA|Active
RAI BI/DI|RAI - DI|DEV|WPDW||14.10.04.06|14.1||NA|NA|Active
R-IT|R-IT|PRODUCTION|RBI4|100%|14.10.05.05|14.1|6700|NA|NA|Active
R-IT|R-IT|TEST|RBI5|100%|14.10.05.05|14.1|6650|NA|NA|Active
R-IT|R-IT|DEV|RBI3|100%|14.10.05.05|14.1|6650|NA|NA|Active
Roche|ROCHE|PRODUCTION|CHROCHE01|100%|15.10.04.01|15.1|2750|NA|NA|Active
ROGERS|ROGERS|PRODUCTION|ROGERSPROD2|100%|14.10.06.10|14.1|6700|NA|NA|Active
Shutterfly|SHUTTERFLY|PRODUCTION|SFLYDWP01|100%|15.00.00.13|15|2750|NA|NA|Active
SiriusXM|SIRIUS XM|PRODUCTION|SIRIUSXM7|88%|15.10.03.04|15.1|6800|NA|NA|Active
SiriusXM|SIRIUS XM|DR|SIRIUSXM8|100%|15.10.03.04|15.1|6700|NA|NA|Active
SiriusXM|SIRIUS XM|TEST|SIRIUSXM5|100%|15.10.03.04|15.1|2700|NA|NA|Active
SiriusXM|SIRIUS XM|QA|SIRIUSXM3|100%|15.10.03.04|15.1|2690|NA|NA|Active
SONY|SONY|PRODUCTION|SONY14|100%|14.10.05.04|14.1|2750|NA|NA|Active
SONY|SONY|UAT|SONY15|100%|14.10.05.04|14.1|2750|NA|NA|Active
SONY|SONY|DEV|SONY16|100%|14.10.05.04|14.1|560P|NA|NA|Active
SSBT|SSBT|DEV|SSBTMADEV001|100%|15.10.04.03|15.1|2650|NA|NA|Active
SSBT|SSBT|PRODUCTION|SSBTMAPROD001|50%|15.10.04.03|15.1|6650H|NA|NA|Active
SSBT|SSBT|PRODUCTION|SSBTNJPROD001|100%|15.10.04.03|15.1|6750HX|NA|NA|Active
SSBT|SSBT|UAT|SSBTMDPROD001|100%|15.00.02.06a|15|6650H|NA|NA|Closed
STAPLES|STAPLES|PRODUCTION|STAPLESPROD|10000%|13.10.07.12|13.1|2650|NA|NA|Active
STAPLES|STAPLES|DEV|STAPLESDEV|10000%|13.10.07.12|13.1|2650|NA|NA|Active
STAPLES|STAPLES|PRODUCTION|STAPLESPRODMRK|10000%|14.00.06.02|14|2750|NA|NA|Active
STAPLES|STAPLES|DEV|STAPLESDEVMRK|10000%|14.00.06.02|14|2700|NA|NA|Active
STAPLES|STAPLES|PRODUCTION|STAPLESADWPROD|10000%|14.10.05.03|14.1|6700|NA|NA|Active
STAPLES|STAPLES|DEV|STAPLESADWDEV|10000%|14.10.05.03|14.1|6700|NA|NA|Active
Supervalu|SUPERVALUE|PRODUCTION|Super18|100%|14.10.06.10D2D|14.1|2750|NA|NA|Active
Supervalu|SUPERVALUE|DEV|Super19|100%|14.10.06.10|14.1|2750|NA|NA|Active
Tata Motors|TATA MOTORS|PRODUCTION|TATAMOTORS1|100%|14.10.07.03|14.1|2690 6N|NA|NA|Active
Tata Motors|TATA MOTORS|DEV|TATAMOTORSDEV|100%|14.10.07.03|14.1|560P Intel SR2600|NA|NA|Active
Telefonica Ireland|TELEFONICA IRELAND|PRODUCTION|O2IE6650|100%|15.10.04.05|15.1|6650|NA|NA|Active
Telefonica Ireland|TELEFONICA IRELAND|DEV|THREE680|100%|15.10.04.05|15.1|680|NA|NA|Active
TeliaSonera|TELIA SONERA|PRODUCTION|Telia9|100%|14.10.05.07|14.1|6690,5600C|NA|NA|Active
TeliaSonera|TELIA SONERA|DEV|Telia8|100%|14.10.04.12|14.1|6650H|NA|NA|Active
TeliaSonera|TELIA SONERA|TEST|Telia7|100%|14.10.04.12|14.1|6650H,5600C   |NA|NA|Active
TeliaSonera|TELIA SONERA|UAT|Telia10|100%|14.10.04.06|14.1|2750|NA|NA|Active
UCT|UCT|PRODUCTION|UCT1|100%|13.10.07.15|13.1|2700|NA|NA|Active
UCT|UCT|DEV|UCT2|100%|13.10.07.15|13.1|2700|NA|NA|Active
